Timestamp for sample frequency every 1 min,Temperature_Fahrenheit,Relative_Humidity
2020-08-23 13:13:00,69.5000,90.3100
2020-08-23 13:14:00,69.5000,90.4100
2020-08-23 13:15:00,69.5000,90.4400
2020-08-23 13:16:00,69.5000,90.4400
2020-08-23 13:17:00,69.5000,90.4400
2020-08-23 13:18:00,69.5000,90.4400
2020-08-23 13:19:00,69.5200,90.4700
2020-08-23 13:20:00,69.5000,90.4700
2020-08-23 13:21:00,69.5200,90.5600
2020-08-23 13:22:00,69.5200,90.5300
2020-08-23 13:23:00,69.5200,90.4700
2020-08-23 13:24:00,69.5200,90.5000
2020-08-23 13:25:00,69.5200,90.6200
2020-08-23 13:26:00,69.5200,90.6200
2020-08-23 13:27:00,69.5200,90.5900
2020-08-23 13:28:00,69.5400,90.6200
2020-08-23 13:29:00,70.5300,96.5700
2020-08-23 13:30:00,73.4200,96.4200
2020-08-23 13:31:00,75.4100,96.0800
2020-08-23 13:32:00,74.9100,96.1700
2020-08-23 13:33:00,75.0600,96.2600
2020-08-23 13:34:00,75.7000,96.4200
2020-08-23 13:35:00,75.6800,93.5800
2020-08-23 13:36:00,75.5100,82.7500
2020-08-23 13:37:00,75.3200,81.6800
2020-08-23 13:38:00,75.0500,80.5500
2020-08-23 13:39:00,74.7600,79.6900
2020-08-23 13:40:00,74.4300,79.0500
2020-08-23 13:41:00,74.1000,78.8400
2020-08-23 13:42:00,73.8700,78.7500
2020-08-23 13:43:00,73.4800,78.7200
2020-08-23 13:44:00,73.1900,78.6900
2020-08-23 13:45:00,72.9400,78.7500
2020-08-23 13:46:00,72.6900,78.8400
2020-08-23 13:47:00,72.4600,79.2700
2020-08-23 13:48:00,72.2500,79.5400
2020-08-23 13:49:00,72.0700,79.4800
2020-08-23 13:50:00,71.8800,79.6300
2020-08-23 13:51:00,71.7100,80.0000
2020-08-23 13:52:00,71.5500,80.2700
2020-08-23 13:53:00,71.4000,80.4600
2020-08-23 13:54:00,71.2600,80.7300
2020-08-23 13:55:00,71.1500,81.0700
2020-08-23 13:56:00,71.0300,81.3100
2020-08-23 13:57:00,70.9100,81.4600
2020-08-23 13:58:00,70.8600,81.7100
2020-08-23 13:59:00,70.7400,81.8600
2020-08-23 14:00:00,70.6600,82.0400
2020-08-23 14:01:00,70.5700,82.0400
2020-08-23 14:02:00,70.5300,82.2300
2020-08-23 14:03:00,70.4300,82.4100
2020-08-23 14:04:00,70.3700,82.6200
2020-08-23 14:05:00,70.3200,82.6200
2020-08-23 14:06:00,70.2600,82.6800
2020-08-23 14:07:00,70.2200,83.4500
2020-08-23 14:08:00,70.1800,83.6300
2020-08-23 14:09:00,70.1600,83.8700
2020-08-23 14:10:00,70.1200,84.0300
2020-08-23 14:11:00,70.1000,84.0900
2020-08-23 14:12:00,70.0600,84.1500
2020-08-23 14:13:00,70.0500,84.5200
2020-08-23 14:14:00,70.0300,84.5800
2020-08-23 14:15:00,70.0100,84.5500
2020-08-23 14:16:00,69.9700,84.5500
2020-08-23 14:17:00,69.9500,84.4500
2020-08-23 14:18:00,69.9300,84.7300
2020-08-23 14:19:00,69.9100,84.5500
2020-08-23 14:20:00,69.8900,84.9700
2020-08-23 14:21:00,69.8700,84.8800
2020-08-23 14:22:00,69.8700,85.1300
2020-08-23 14:23:00,69.8500,85.0600
2020-08-23 14:24:00,69.8300,85.0900
2020-08-23 14:25:00,69.8100,85.0900
2020-08-23 14:26:00,69.8100,85.2800
2020-08-23 14:27:00,69.7900,85.0900
2020-08-23 14:28:00,69.7800,85.0000
2020-08-23 14:29:00,69.7800,84.9700
2020-08-23 14:30:00,69.7600,84.9700
2020-08-23 14:31:00,69.7400,85.0300
2020-08-23 14:32:00,69.7400,85.2200
2020-08-23 14:33:00,69.7200,85.1600
2020-08-23 14:34:00,69.7000,85.3100
2020-08-23 14:35:00,69.7000,85.4000
2020-08-23 14:36:00,69.7000,85.5500
2020-08-23 14:37:00,69.7000,85.6700
2020-08-23 14:38:00,69.7000,85.7700
2020-08-23 14:39:00,69.7000,85.8000
2020-08-23 14:40:00,69.6800,85.7700
2020-08-23 14:41:00,69.6800,85.8300
2020-08-23 14:42:00,69.6600,85.8000
2020-08-23 14:43:00,69.6600,85.6700
2020-08-23 14:44:00,69.6400,85.5500
2020-08-23 14:45:00,69.6400,85.4600
2020-08-23 14:46:00,69.6200,85.5500
2020-08-23 14:47:00,69.6200,85.4900
2020-08-23 14:48:00,69.6000,85.6100
2020-08-23 14:49:00,69.5800,85.5500
2020-08-23 14:50:00,69.5800,85.6700
2020-08-23 14:51:00,69.5800,85.6700
2020-08-23 14:52:00,69.5600,85.5800
2020-08-23 14:53:00,69.5800,85.5200
2020-08-23 14:54:00,69.5600,85.6400
2020-08-23 14:55:00,69.5400,85.7100
2020-08-23 14:56:00,69.5400,85.5500
2020-08-23 14:57:00,69.5400,85.6400
2020-08-23 14:58:00,69.5600,86.0400
2020-08-23 14:59:00,69.5400,86.1000
2020-08-23 15:00:00,69.5400,86.0700
2020-08-23 15:01:00,69.5600,86.1300
2020-08-23 15:02:00,69.5600,86.0400
2020-08-23 15:03:00,69.5400,86.0700
2020-08-23 15:04:00,69.5400,86.1900
2020-08-23 15:05:00,69.5400,86.2500
2020-08-23 15:06:00,69.5400,86.1300
2020-08-23 15:07:00,69.5400,86.1000
2020-08-23 15:08:00,69.5400,86.1000
2020-08-23 15:09:00,69.5400,86.2900
2020-08-23 15:10:00,69.5600,86.2500
2020-08-23 15:11:00,69.5600,86.2200
2020-08-23 15:12:00,69.5600,86.1300
2020-08-23 15:13:00,69.5600,86.1900
2020-08-23 15:14:00,69.5600,86.2200
2020-08-23 15:15:00,69.5600,86.4400
2020-08-23 15:16:00,69.5800,86.3800
2020-08-23 15:17:00,69.5800,86.1900
2020-08-23 15:18:00,69.5800,86.3200
2020-08-23 15:19:00,69.5800,86.5000
2020-08-23 15:20:00,69.5800,86.5000
2020-08-23 15:21:00,69.6000,86.4400
2020-08-23 15:22:00,69.6000,86.4100
2020-08-23 15:23:00,69.6000,86.4100
2020-08-23 15:24:00,69.6000,86.3500
2020-08-23 15:25:00,69.6200,86.4400
2020-08-23 15:26:00,69.6200,86.4700
2020-08-23 15:27:00,69.6200,86.2200
2020-08-23 15:28:00,69.6000,86.1600
2020-08-23 15:29:00,69.5800,86.1000
2020-08-23 15:30:00,69.5800,86.0100
2020-08-23 15:31:00,69.5800,86.2200
2020-08-23 15:32:00,69.5800,86.3200
2020-08-23 15:33:00,69.5800,86.3200
2020-08-23 15:34:00,69.5800,86.3500
2020-08-23 15:35:00,69.5800,86.3800
2020-08-23 15:36:00,69.6000,86.5300
2020-08-23 15:37:00,69.6000,86.4700
2020-08-23 15:38:00,69.6200,86.7400
2020-08-23 15:39:00,69.6400,86.7700
2020-08-23 15:40:00,69.6400,86.7400
2020-08-23 15:41:00,69.6400,86.7100
2020-08-23 15:42:00,69.6400,86.8300
2020-08-23 15:43:00,69.6400,86.8600
2020-08-23 15:44:00,69.6600,86.7700
2020-08-23 15:45:00,69.6600,86.7700
2020-08-23 15:46:00,69.6600,86.9000
2020-08-23 15:47:00,69.6800,86.7400
2020-08-23 15:48:00,69.6600,86.5900
2020-08-23 15:49:00,69.6600,86.6200
2020-08-23 15:50:00,69.6600,86.6200
2020-08-23 15:51:00,69.6600,86.4700
2020-08-23 15:52:00,69.6600,86.4700
2020-08-23 15:53:00,69.6600,86.4100
2020-08-23 15:54:00,69.6400,86.3200
2020-08-23 15:55:00,69.6400,86.6800
2020-08-23 15:56:00,69.6400,86.9000
2020-08-23 15:57:00,69.6600,86.9000
2020-08-23 15:58:00,69.6800,87.0500
2020-08-23 15:59:00,69.7000,87.1400
2020-08-23 16:00:00,69.7000,87.1700
2020-08-23 16:01:00,69.7000,87.1700
2020-08-23 16:02:00,69.7000,86.8600
2020-08-23 16:03:00,69.7000,87.1700
2020-08-23 16:04:00,69.7200,87.2600
2020-08-23 16:05:00,69.7400,87.2600
2020-08-23 16:06:00,69.7400,87.0800
2020-08-23 16:07:00,69.7200,86.9600
2020-08-23 16:08:00,69.7200,86.9000
2020-08-23 16:09:00,69.7200,86.7100
2020-08-23 16:10:00,69.7200,86.6800
2020-08-23 16:11:00,69.7000,86.9000
2020-08-23 16:12:00,69.7200,87.0800
2020-08-23 16:13:00,69.7200,87.1100
2020-08-23 16:14:00,69.7200,87.1100
2020-08-23 16:15:00,69.7200,87.1700
2020-08-23 16:16:00,69.7200,87.2900
2020-08-23 16:17:00,69.7400,87.5100
2020-08-23 16:18:00,69.7600,87.6900
2020-08-23 16:19:00,69.7900,87.8700
2020-08-23 16:20:00,69.8300,88.0600
2020-08-23 16:21:00,69.8500,88.0900
2020-08-23 16:22:00,69.8700,88.1200
2020-08-23 16:23:00,69.9100,88.2100
2020-08-23 16:24:00,69.9500,88.2700
2020-08-23 16:25:00,69.9700,88.2400
2020-08-23 16:26:00,70.0100,88.2700
2020-08-23 16:27:00,70.0500,88.3300
2020-08-23 16:28:00,70.0600,88.3000
2020-08-23 16:29:00,70.1000,88.3900
2020-08-23 16:30:00,70.1200,88.4200
2020-08-23 16:31:00,70.1400,88.3900
2020-08-23 16:32:00,70.1800,88.3900
2020-08-23 16:33:00,70.2000,88.3900
2020-08-23 16:34:00,70.2200,88.4200
2020-08-23 16:35:00,70.2600,88.3900
2020-08-23 16:36:00,70.2800,88.3900
2020-08-23 16:37:00,70.3000,88.3900
2020-08-23 16:38:00,70.3200,88.4200
2020-08-23 16:39:00,70.3500,88.3900
2020-08-23 16:40:00,70.3700,88.4200
2020-08-23 16:41:00,70.3900,88.3900
2020-08-23 16:42:00,70.4100,88.4500
2020-08-23 16:43:00,70.4500,88.4500
2020-08-23 16:44:00,70.4500,88.4500
2020-08-23 16:45:00,70.4900,88.4200
2020-08-23 16:46:00,70.5100,88.4200
2020-08-23 16:47:00,70.5300,88.3600
2020-08-23 16:48:00,70.5300,88.2400
2020-08-23 16:49:00,70.5300,88.0900
2020-08-23 16:50:00,70.5300,87.8100
2020-08-23 16:51:00,70.5300,87.7200
2020-08-23 16:52:00,70.5100,87.5400
2020-08-23 16:53:00,70.4900,87.4100
2020-08-23 16:54:00,70.4700,87.3200
2020-08-23 16:55:00,70.4500,87.2600
2020-08-23 16:56:00,70.4100,87.0800
2020-08-23 16:57:00,70.3900,87.2600
2020-08-23 16:58:00,70.3900,87.2300
2020-08-23 16:59:00,70.3500,87.2000
2020-08-23 17:00:00,70.3400,87.2000
2020-08-23 17:01:00,70.3200,87.2300
2020-08-23 17:02:00,70.3000,87.1400
2020-08-23 17:03:00,70.2800,87.1700
2020-08-23 17:04:00,70.2600,87.1400
2020-08-23 17:05:00,70.2400,87.0800
2020-08-23 17:06:00,70.2200,87.1400
2020-08-23 17:07:00,70.2000,87.0500
2020-08-23 17:08:00,70.1800,86.9600
2020-08-23 17:09:00,70.1400,86.9900
2020-08-23 17:10:00,70.1400,86.9300
2020-08-23 17:11:00,70.1000,86.9300
2020-08-23 17:12:00,70.1000,86.8300
